timestamp,read_bytes_sec,write_bytes_sec,total_bytes_sec
2025-07-21 11:25:27,61440,1236992,1298432
2025-07-21 11:25:28,1172480,1298432,2470912
2025-07-21 11:25:29,5186560,421888,5608448
2025-07-21 11:25:30,0,61440,61440
2025-07-21 11:25:31,0,11694080,11694080
2025-07-21 11:25:32,0,11800576,11800576
2025-07-21 11:25:33,0,1073152,1073152
2025-07-21 11:25:34,0,4096,4096
2025-07-21 11:25:35,0,23629824,23629824
2025-07-21 11:25:36,16384,46743552,46759936
2025-07-21 11:25:37,65536,0,65536
2025-07-21 11:25:38,0,0,0
2025-07-21 11:25:39,0,1892352,1892352
2025-07-21 11:25:40,0,2437120,2437120
2025-07-21 11:25:41,49152,23580672,23629824
2025-07-21 11:25:42,421888,217088,638976
2025-07-21 11:25:43,139264,20480,159744
2025-07-21 11:25:44,1038848,6123520,7162368
2025-07-21 11:25:45,1212416,23388160,24600576
2025-07-21 11:25:46,1941504,45056,1986560
2025-07-21 11:25:47,2269184,135168,2404352
2025-07-21 11:25:48,258048,188416,446464
2025-07-21 11:25:49,65536,237568,303104
2025-07-21 11:25:50,208896,86016,294912
2025-07-21 11:25:51,0,23691264,23691264
2025-07-21 11:25:52,0,23379968,23379968
2025-07-21 11:25:53,17168384,32768,17201152
2025-07-21 11:25:54,126976,819200,946176
2025-07-21 11:25:56,16384,16384,32768
2025-07-21 11:25:57,4096,241664,245760
2025-07-21 11:25:58,0,0,0
2025-07-21 11:25:59,81920,405504,487424
2025-07-21 11:26:00,167936,159744,327680
2025-07-21 11:26:01,372736,1187840,1560576
2025-07-21 11:26:02,2662400,47210496,49872896
2025-07-21 11:26:03,32768,552960,585728
2025-07-21 11:26:04,32768,176128,208896
2025-07-21 11:26:05,282624,233472,516096
2025-07-21 11:26:06,32768,23494656,23527424
2025-07-21 11:26:07,0,46874624,46874624
2025-07-21 11:26:08,77824,0,77824
2025-07-21 11:26:09,16384,528384,544768
2025-07-21 11:26:10,49152,188416,237568
2025-07-21 11:26:11,1024,36864,37888
2025-07-21 11:26:12,7698944,249856,7948800
2025-07-21 11:26:13,2377216,23580672,25957888
2025-07-21 11:26:14,12921344,106496,13027840
2025-07-21 11:26:15,536576,241664,778240
2025-07-21 11:26:16,933888,188416,1122304
2025-07-21 11:26:17,2466816,122880,2589696
2025-07-21 11:26:18,65536,90112,155648
2025-07-21 11:26:19,4932096,73728,5005824
2025-07-21 11:26:20,135168,335872,471040
2025-07-21 11:26:21,140800,4341760,4482560
2025-07-21 11:26:22,65536,47034368,47099904
2025-07-21 11:26:23,110592,245760,356352
2025-07-21 11:26:24,1843003392,1581821952,3424825344
2025-07-21 11:26:25,2256158720,2257809408,4513968128
2025-07-21 11:26:26,1667117056,1691602944,3358720000
2025-07-21 11:26:27,386433024,376684544,763117568
2025-07-21 11:26:28,1063239168,1062375424,2125614592
2025-07-21 11:26:29,1299611648,1302560768,2602172416
2025-07-21 11:26:30,652275712,640925696,1293201408
2025-07-21 11:26:31,259235840,257396736,516632576
2025-07-21 11:26:32,135339008,210948096,346287104
2025-07-21 11:26:33,1144565760,1107742720,2252308480
2025-07-21 11:26:34,231849984,231321600,463171584
2025-07-21 11:26:35,173400064,226942976,400343040
2025-07-21 11:26:36,974254080,972754944,1947009024
2025-07-21 11:26:37,1293209600,1361969152,2655178752
2025-07-21 11:26:38,645017600,642301952,1287319552
2025-07-21 11:26:39,0,0,0
2025-07-21 11:26:40,701136896,717398016,1418534912
2025-07-21 11:26:41,975863808,977780736,1953644544
2025-07-21 11:26:42,997425152,1029111808,2026536960
2025-07-21 11:26:43,1011646464,1007808512,2019454976
2025-07-21 11:26:44,984603648,982560768,1967164416
2025-07-21 11:26:45,1133358592,1189933056,2323291648
2025-07-21 11:26:46,1274252288,1273110528,2547362816
2025-07-21 11:26:47,1349906432,1349648384,2699554816
2025-07-21 11:26:48,138579968,122208256,260788224
2025-07-21 11:26:50,1789071360,1789775872,3578847232
2025-07-21 11:26:51,794943488,797462528,1592406016
2025-07-21 11:26:52,1254915072,1345523712,2600438784
2025-07-21 11:26:53,1056440320,1045159936,2101600256
2025-07-21 11:26:54,4096,0,4096
2025-07-21 11:26:55,1288712192,1296568320,2585280512
2025-07-21 11:26:56,887164928,890253312,1777418240
2025-07-21 11:26:57,312606720,300433408,613040128
2025-07-21 11:26:59,1254334464,1267560448,2521894912
2025-07-21 11:27:00,1245728768,1239429120,2485157888
2025-07-21 11:27:01,892338176,891408384,1783746560
2025-07-21 11:27:03,972578816,1058926592,2031505408
2025-07-21 11:27:04,255332352,250142720,505475072
2025-07-21 11:27:05,568340480,566771712,1135112192
2025-07-21 11:27:06,954413056,1068548096,2022961152
2025-07-21 11:27:07,904573952,937521152,1842095104
2025-07-21 11:27:08,798375936,768749568,1567125504
2025-07-21 11:27:09,355041280,356052992,711094272
2025-07-21 11:27:10,1305034752,1322401792,2627436544
2025-07-21 11:27:11,933101056,965193728,1898294784
2025-07-21 11:27:12,1256730624,1245892608,2502623232
2025-07-21 11:27:13,1169862656,1190158336,2360020992
2025-07-21 11:27:14,1293418496,1285173248,2578591744
2025-07-21 11:27:15,967572480,968650752,1936223232
2025-07-21 11:27:16,172023808,157298688,329322496
2025-07-21 11:27:18,1288785920,1290145792,2578931712
2025-07-21 11:27:19,742948864,738267136,1481216000
2025-07-21 11:27:20,1263054848,1268912128,2531966976
2025-07-21 11:27:21,1120472576,1119510528,2239983104
2025-07-21 11:27:22,346066944,350765056,696832000
2025-07-21 11:27:23,1229524992,1319780352,2549305344
2025-07-21 11:27:24,706838528,707641344,1414479872
2025-07-21 11:27:25,914266624,962097152,1876363776
2025-07-21 11:27:26,1050759168,1045663744,2096422912
2025-07-21 11:27:27,1058115584,1053396992,2111512576
2025-07-21 11:27:28,1001249792,994377728,1995627520
2025-07-21 11:27:29,989082112,996282368,1985364480
2025-07-21 11:27:30,1048399872,1043214336,2091614208
2025-07-21 11:27:31,1333222400,1323085824,2656308224
2025-07-21 11:27:32,1302915584,1358323712,2661239296
2025-07-21 11:27:33,1670903808,1666158592,3337062400
2025-07-21 11:27:34,1328685568,1319845888,2648531456
2025-07-21 11:27:35,1294799360,1341165568,2635964928
2025-07-21 11:27:36,1261406208,1266671616,2528077824
2025-07-21 11:27:37,1168494592,1242103808,2410598400
2025-07-21 11:27:38,1247885312,1257631744,2505517056
2025-07-21 11:27:39,1308880384,1295450112,2604330496
2025-07-21 11:27:40,1130281984,1137684480,2267966464
2025-07-21 11:27:41,990386688,987975680,1978362368
2025-07-21 11:27:42,1026992640,1073876992,2100869632
2025-07-21 11:27:43,1015542272,1012146176,2027688448
2025-07-21 11:27:44,1022161920,1023279104,2045441024
2025-07-21 11:27:45,1039372288,1068171264,2107543552
2025-07-21 11:27:46,536037376,528494592,1064531968
2025-07-21 11:27:47,186723328,226590720,413314048
2025-07-21 11:27:48,819200,466944,1286144
2025-07-21 11:27:49,0,26214400,26214400
2025-07-21 11:27:50,454656,22306816,22761472
2025-07-21 11:27:51,1912832,19922944,21835776
2025-07-21 11:27:52,750592,51798016,52548608
2025-07-21 11:27:53,32768,208896,241664
2025-07-21 11:27:54,245760,5271552,5517312
2025-07-21 11:27:55,385536,0,385536
2025-07-21 11:27:56,212992,49152,262144
2025-07-21 11:27:57,931840,143360,1075200
2025-07-21 11:27:58,0,233472,233472
2025-07-21 11:27:59,280064,229376,509440
2025-07-21 11:28:00,212992,0,212992
2025-07-21 11:28:01,413696,184320,598016
2025-07-21 11:28:02,17128448,46915584,64044032
2025-07-21 11:28:03,0,11489280,11489280
2025-07-21 11:28:04,0,126976,126976
2025-07-21 11:28:05,0,31059968,31059968
2025-07-21 11:28:06,73728,11812864,11886592
2025-07-21 11:28:07,196608,35045376,35241984
2025-07-21 11:28:08,0,57344,57344
2025-07-21 11:28:09,0,151552,151552
2025-07-21 11:28:10,94208,110592,204800
