total_bytes_sec,rolling_avg,burst
21835776,23603882.666666668,1
52548608,32381952.0,1
241664,24875349.333333332,0
5517312,19435861.333333332,1
385536,2048170.6666666667,0
262144,2054997.3333333333,0
1075200,574293.3333333334,1
233472,523605.3333333333,0
509440,606037.3333333334,0
212992,318634.6666666667,0
598016,440149.3333333333,0
64044032,21618346.666666668,1
11489280,25377109.333333332,1
126976,25220096.0,0
31059968,14225408.0,1
11886592,14357845.333333334,1
35241984,26062848.0,1
57344,15728640.0,0
151552,11816960.0,0
204800,137898.66666666666,0
